cif_id,target
Ba1Pt1_ICSD_55492,-4.17766386025927
B2Ru3Tb1_ICSD_615370,-4.53009849332408
Au2In1U1_ICSD_58512,-4.15200682173462
Ca3Co4Sn13_ICSD_619211,-4.17655642032057
Al1Pt1_ICSD_58129,-4.46670722593766
Mo3N1Pt2_ICSD_150314,-4.65570206296327
Ag2Er1In1_ICSD_58254,-4.11962377956324
Al1Li1Si1_ICSD_152086,-4.17481544050015
Ag1S3Ta1_ICSD_74442,-4.38387227097138
Al16Pt7Zr6_ICSD_609168,-4.45504070582754
Al1Au1Er1_ICSD_602607,-4.32094477524193
Ca1Si2_ICSD_1453,-4.16294402503102
F4Pd1Sr1_ICSD_108990,-4.07794803880314
C1Pb1Ti2_ICSD_42926,-4.45915393452844
La3O7Ta1_ICSD_168909,-4.49276904460212
B4Rh4Tb1_ICSD_615322,-4.52565696375729
C1Ga1Ta2_ICSD_617926,-4.62081417905936
Ga1Ho1O3_ICSD_420711,-4.41866030588693
Al3C3Sc1_ICSD_43477,-4.57381743034852
Ru3Zr1_ICSD_185641,-4.63649331638232
Dy2Se3_ICSD_419,-4.34909439804289
Ir2Lu1_ICSD_104491,-4.60196966746908
Be2C1_ICSD_183009,-4.74254222761761
Al2Ho3_ICSD_184632,-4.33085147604734
Dy1Ge1_ICSD_42956,-4.32955467711339
P1Ru1Zr1_ICSD_648037,-4.59113110260205
As12Os4Th1_ICSD_611145,-4.47269368527128
Eu1O3Ti1_ICSD_187101,-4.44210679647493
Al2Y1_ICSD_186476,-4.34556161224262
Er3P6Pd20_ICSD_409903,-4.35281465927148
I1Rb1_ICSD_44619,-3.54167797899086
C1Zr1_ICSD_183162,-4.54052005896337
B4Fe1_ICSD_425311,-4.40312702261288
Cl5Cs1Pb2_ICSD_249888,-3.93308919626018
Ba1Pt2_ICSD_58675,-4.29735667692744
Ca1F6Sn1_ICSD_35713,-4.17573029324473
P1Pt5Tl1_ICSD_647975,-4.44480394565788
Cu1Ti3_ICSD_103130,-4.26173963830165
C1Nb1_ICSD_183164,-4.62382102438743
B1Li2Pd3_ICSD_156465,-4.18428547709434
Ba1F4Pd1_ICSD_108991,-4.06122167642939
Er2In1Ni2_ICSD_630690,-4.29932483303224
Ga3Hf3Nb2_ICSD_103733,-4.53568337016997
Ca2Ge2Ni3_ICSD_421074,-4.27577575715135
Ag1In2Na3_ICSD_170868,-3.69344845569687
S1Zn1_ICSD_15478,-4.20899957846353
Ni1Zn1_ICSD_105470,-4.12669160743804
As1Ti3_ICSD_611501,-4.313717744563
O3Tb2_ICSD_27995,-4.43569501173892
N1Nb3Zn3_ICSD_42939,-4.51528599854428
Al3Zr4_ICSD_150529,-4.49242880585835
O1Sr1_ICSD_105548,-4.23407452023059
Cd1N1_ICSD_183198,-4.14614549466734
B4H16Hf1_ICSD_35379,-4.18072527885682
K1Sb1Zn1_ICSD_12161,-3.92423412178427
Be13U1_ICSD_107528,-4.35477625449204
Pt1Se1Si1_ICSD_649595,-4.40941226504415
B2C2Er1_ICSD_94042,-4.55144826079842
Mg1Sc1_ICSD_108583,-4.2201582953842
Ge2Ir2Th1_ICSD_636745,-4.55008675271123
Mn2Si2Y1_ICSD_643695,-4.23071796326834
Sn2Tb1_ICSD_168671,-4.25832063248001
In1Ni2Ti1_ICSD_54596,-4.46531533259115
Na1Nb1S2_ICSD_26285,-4.3666669037928
O7P2Ti1_ICSD_189807,-4.58463930051493
Ag1Er1Se2_ICSD_15302,-4.2326385422951
Ru2Si2Th1_ICSD_603984,-4.59251221872073
Ge1Ir1Y1_ICSD_636761,-4.46955311895289
Al1Cu2Zr1_ICSD_185282,-4.34181205795869
Ge3La1Rh1_ICSD_161872,-4.34118566263983
Ag1Al1O2_ICSD_160643,-4.30475129391307
Mn1Pd2Sn1_ICSD_104945,-4.21665679340348
Pt9Sc5Si7_ICSD_420356,-4.47990180430476
Cu1Dy1Si1_ICSD_30766,-4.33743197759687
Ge1Ru1Tb1_ICSD_85912,-4.43965810227789
F1Ho1S1_ICSD_94475,-4.33081519479632
Ho1Te2_ICSD_639765,-4.32008810757632
In1Pt2Tb1_ICSD_640312,-4.4034490849762
Rh5Tb1_ICSD_105944,-4.49778188330414
Mn1Pd1Te1_ICSD_40908,-4.21213092832944
Al1Rh1_ICSD_58151,-4.5052625620411
Ba1Ce1N2_ICSD_74791,-4.40454125698035
Ga1In1Te2_ICSD_600687,-4.04904058882391
As1Pu1_ICSD_44048,-4.22303381746882
C1_ICSD_66468,-5.25170496360959
B2Mo2Ru1_ICSD_601573,-4.67568872991062
Al2Fe3Si4_ICSD_83665,-4.46951086860933
Ba1Te2_ICSD_75555,-4.12728504191484
Dy3Ge4_ICSD_84342,-4.32613805878653
Ni1Sc6Te2_ICSD_90082,-4.30361652332083
Ru2Sc1_ICSD_150514,-4.35222106345711
Ge2Th3_ICSD_44503,-4.46539775669081
Ba1Ce1O3_ICSD_165826,-4.39759705148159
Ba1Si2_ICSD_2218,-4.17849629737339
In1Rb1Te2_ICSD_75346,-3.98802378428749
As1Nb1_ICSD_16585,-4.55200830348964
Ge1Nb1Rh1_ICSD_637230,-4.56746522089961
B2Nb1Ni1_ICSD_614910,-4.61893367858027
P1V1_ICSD_42444,-4.51338677334211
Ho1Rh1Sn1_ICSD_411821,-4.39421243310639
C1Nb4Rh2_ICSD_618493,-4.64486277219863
Dy1Ni2Si2_ICSD_630020,-4.39989220049329
Cu2Ho1In1_ICSD_102979,-4.19228777264341
Bi1Dy1_ICSD_58778,-4.31182943487072
F3Na1V1_ICSD_60611,-4.01105062116353
Cl1Na1O3_ICSD_1117,-4.11867298666403
Cs3O3Sb1_ICSD_279580,-4.04222515643697
Ho1Ni2Si2_ICSD_56232,-4.3982528133222
Al6Mn1_ICSD_150135,-4.33901316407661
Pt2Si1_ICSD_649614,-4.49768488234201
As2Ba1Cu2_ICSD_236307,-4.14728706253759
Ca1Mg1Si1_ICSD_158276,-4.19194440125919
In1Na5O4_ICSD_69630,-4.02669800151141
In1Te1_ICSD_169419,-4.03662069595975
Dy1Ga3Ru1_ICSD_629734,-4.33772771652025
Ge13Ru4Y3_ICSD_53900,-4.37469269473803
S4Tl3V1_ICSD_16572,-4.12026548322244
Ge1Os1Sc1_ICSD_637470,-4.52309449845616
Sn1_ICSD_40039,-4.09301777072074
Ge1Pt1Zr1_ICSD_260793,-4.5059372856865
Bi1Nb3_ICSD_58817,-4.55303123820447
In1Ni1_ICSD_59432,-4.23120285919889
Bi1Pd1Se1_ICSD_616956,-4.2575058208303
Dy1In1Rh1_ICSD_103209,-4.36616507374168
C2La1_ICSD_26587,-4.43315256706888
Ag1Zr1_ICSD_163155,-4.33215122569299
B2Zr1_ICSD_169458,-4.67865638066337
Au1Ge4Rb3_ICSD_413724,-3.94954677181341
F2V1_ICSD_201245,-4.13556961503046
H2Y1_ICSD_164604,-4.14540978571162
Cu2O3Sr1_ICSD_416902,-4.24276192519377
Er1Os2Si2_ICSD_103276,-4.59247483345102
O6Se2Sn1_ICSD_154716,-4.29760479450299
As1Mg1Na1_ICSD_402339,-4.03724153656935
Ce1Co1Si2_ICSD_16501,-4.43287242794999
K1Nb1S2_ICSD_26286,-4.3503925755934
Mg1Si1Sr1_ICSD_42457,-4.15204503392462
Dy1Rh1_ICSD_103359,-4.42022783233573
Pt1Sb2Zr6_ICSD_157366,-4.52067379322201
Hf1Re2_ICSD_150512,-4.74366718157433
As1F6Na1_ICSD_184564,-4.1100330758115
Al3Ir1_ICSD_57929,-4.43728613351264
Pt2Si2Th1_ICSD_649630,-4.51774544126423
Pd1Sr1_ICSD_648963,-4.08768014519639
Ga7Ni3_ICSD_408313,-4.16670113474052
La1N1_ICSD_162195,-4.43054766692625
Ir1Mn3Si1_ICSD_151748,-4.29382777466893
Ir2Th1_ICSD_104571,-4.63427995420711
Pd1Th1_ICSD_105716,-4.45981948747745
O2Re1_ICSD_154021,-4.57983293527244
B7Mo3Y1_ICSD_39873,-4.65207116891295
Ag2Ca1Ge2_ICSD_25316,-4.03877735027395
In2Rh1Yb1_ICSD_152048,-4.19351951679679
Ag1Al1S2_ICSD_25356,-4.21919105391321
Ge13Lu3Rh4_ICSD_636932,-4.32491763660876
O7Ru2Y2_ICSD_73799,-4.47796547460661
B1Co1W1_ICSD_613388,-4.66516238962274
In1Li2Pt1_ICSD_106805,-4.04089275262987
Au1Cu3_ICSD_150666,-4.16160180244642
Pt1Sn1Sr1_ICSD_412012,-4.21676766702632
Os2Tb1_ICSD_647822,-4.5976560664405
Ba1O3Pr1_ICSD_163755,-4.38158683081089
Er1Mg2_ICSD_657544,-4.17478426414063
As2Ni1_ICSD_41725,-4.29325406195924
H3Pd1Yb1_ICSD_638422,-4.01163727797452
Cu1Sn1Y1_ICSD_416544,-4.26766334561315
F6K2Ni1_ICSD_41416,-3.99025599062038
O7V2Y2_ICSD_160865,-4.5044015524546
C1Ge1Ni3_ICSD_77001,-4.33930334174222
Al1O2Rb1_ICSD_28373,-4.29735926075505
Co1Si1V1_ICSD_409847,-4.54573458568372
Ca3N2_ICSD_50991,-4.24554539747958
K2O1_ICSD_180571,-3.77811390266413
B2Hf3Ir5_ICSD_44316,-4.65849425301011
Se1Tl1_ICSD_652064,-3.96959460048715
Ho1In1Pd1_ICSD_153006,-4.30215801922995
Co1O6Pt3_ICSD_35338,-4.4163286352177
In1Te2Tl1_ICSD_16245,-4.03223259203588
Sn1Y1Zn1_ICSD_152622,-4.224830258612
Fe2In1Ti1_ICSD_186056,-4.40190470175982
Br1Li3O1_ICSD_67265,-3.88147404811703
Cu1Na1Se1_ICSD_12155,-3.95907739682605
In1Pt2Sc1_ICSD_59502,-4.39965014861632
In1Pd2Tb2_ICSD_54484,-4.31513938447845
Si1Sr1Zn1_ICSD_86388,-4.14065451617791
Nb3Si2_ICSD_645431,-4.63642374276814
As2K2Ni1_ICSD_300120,-4.02329887516525
Pu1Ru1_ICSD_105865,-4.45307872772091
